flow_id,start_point_lat,start_point_lon,via_point_1_lat,via_point_1_lon,via_point_2_lat,via_point_2_lon,end_point_lat,end_point_lon
flow_2_32,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10445259405902,16.876042926170484,41.10436880868841,16.875761886209244
flow_2_33,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10836405905024,16.870571573316074,41.10880559118211,16.870655444350444
flow_2_34,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10814243673671,16.874186571324426,41.10813805327221,16.874870976018755
flow_2_35,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10724146966218,16.87742479905898,41.10720934823202,16.87762157039797
flow_2_36,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.105709425071495,16.87508434379606,41.10600946787193,16.875045247470027
flow_2_37,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10712583087676,16.874581370472423,41.10710214853407,16.87435955003989
flow_2_38,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10732110319105,16.8777613495144,41.10733798267452,16.877764688678635
flow_2_39,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.108816959023954,16.87701559688476,41.111533788969055,16.876450715532847
flow_2_40,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10106339499217,16.87820819789415,41.10125886508507,16.87968187544237
flow_2_41,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.107448933153655,16.877721763272344,41.10745580783001,16.877714456595747
flow_2_42,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474
flow_2_43,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10462013718466,16.876617630310452,41.10440468148953,16.876739151748147
flow_2_44,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10710990602856,16.87028076266512,41.10764547042224,16.87037051448248
flow_2_45,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10282219209128,16.8716118519074,41.10255940602009,16.871592123455162
flow_2_46,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10525531107702,16.871659522788697,41.10527065176782,16.87092044157714
flow_2_47,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10527065176782,16.87092044157714,41.104557904589925,16.87075349430906
flow_2_48,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.103532900952686,16.872347479668893,41.10351474321344,16.8729158168811
flow_2_49,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10459014355675,16.87360777204878,41.104586032558366,16.87294674119706
flow_2_50,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10428673559737,16.877531862648333,41.10433323843067,16.877513777059303
flow_2_51,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10277476335755,16.87778529520797,41.102969188850125,16.879273627171905
flow_2_52,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10877484203646,16.874159186639993,41.11248609314907,16.873643072909186
flow_2_53,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10693282053231,16.873500754386423,41.10640317013077,16.873601328210643
flow_2_54,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10686700172243,16.87802885995844,41.10675372463437,16.87807636260086
flow_2_55,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10324733400062,16.87359019478166,41.102660798305045,16.873632821121205
flow_2_56,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10451407293564,16.87751035535627,41.10489776456013,16.87885407695273
flow_2_57,41.10255940602009,16.871592123455162,41.10282219209128,16.8716118519074,41.10750236910344,16.877554656305445,41.10745023270787,16.87741550407253
flow_2_58,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10781671041559,16.87181707243336,41.10771770975772,16.87321379705395
flow_2_59,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10450954428582,16.871651082575962,41.10456510973252,16.872477433605628
flow_2_60,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10353883851455,16.871655188195383,41.103515666810864,16.87044227855002
flow_2_61,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10445259405902,16.876042926170484,41.10436880868841,16.875761886209244
flow_2_62,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10836405905024,16.870571573316074,41.10880559118211,16.870655444350444
flow_2_63,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10814243673671,16.874186571324426,41.10813805327221,16.874870976018755
flow_2_64,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10724146966218,16.87742479905898,41.10720934823202,16.87762157039797
flow_2_65,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.105709425071495,16.87508434379606,41.10600946787193,16.875045247470027
flow_2_66,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10712583087676,16.874581370472423,41.10710214853407,16.87435955003989
flow_2_67,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10732110319105,16.8777613495144,41.10733798267452,16.877764688678635
flow_2_68,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.108816959023954,16.87701559688476,41.111533788969055,16.876450715532847
flow_2_69,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10106339499217,16.87820819789415,41.10125886508507,16.87968187544237
flow_2_70,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.107448933153655,16.877721763272344,41.10745580783001,16.877714456595747
flow_2_71,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10094460424349,16.876328159376932,41.10140722536913,16.87622308620474
flow_2_72,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10462013718466,16.876617630310452,41.10440468148953,16.876739151748147
flow_2_73,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10710990602856,16.87028076266512,41.10764547042224,16.87037051448248
flow_2_74,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10282219209128,16.8716118519074,41.10255940602009,16.871592123455162
flow_2_75,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10525531107702,16.871659522788697,41.10527065176782,16.87092044157714
flow_2_76,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10527065176782,16.87092044157714,41.104557904589925,16.87075349430906
flow_2_77,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.103532900952686,16.872347479668893,41.10351474321344,16.8729158168811
flow_2_78,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10459014355675,16.87360777204878,41.104586032558366,16.87294674119706
flow_2_79,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10428673559737,16.877531862648333,41.10433323843067,16.877513777059303
flow_2_80,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10277476335755,16.87778529520797,41.102969188850125,16.879273627171905
flow_2_81,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10877484203646,16.874159186639993,41.11248609314907,16.873643072909186
flow_2_82,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10693282053231,16.873500754386423,41.10640317013077,16.873601328210643
flow_2_83,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10686700172243,16.87802885995844,41.10675372463437,16.87807636260086
flow_2_84,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10324733400062,16.87359019478166,41.102660798305045,16.873632821121205
flow_2_85,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10451407293564,16.87751035535627,41.10489776456013,16.87885407695273
flow_2_86,41.10351474321344,16.8729158168811,41.103532900952686,16.872347479668893,41.10750236910344,16.877554656305445,41.10745023270787,16.87741550407253
flow_2_87,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10781671041559,16.87181707243336,41.10771770975772,16.87321379705395
flow_2_88,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10450954428582,16.871651082575962,41.10456510973252,16.872477433605628
flow_2_89,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10353883851455,16.871655188195383,41.103515666810864,16.87044227855002
flow_2_90,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10445259405902,16.876042926170484,41.10436880868841,16.875761886209244
flow_2_91,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10836405905024,16.870571573316074,41.10880559118211,16.870655444350444
flow_2_92,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10814243673671,16.874186571324426,41.10813805327221,16.874870976018755
flow_2_93,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10724146966218,16.87742479905898,41.10720934823202,16.87762157039797
flow_2_94,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.105709425071495,16.87508434379606,41.10600946787193,16.875045247470027
flow_2_95,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10712583087676,16.874581370472423,41.10710214853407,16.87435955003989
flow_2_96,41.104586032558366,16.87294674119706,41.10459014355675,16.87360777204878,41.10732110319105,16.8777613495144,41.10733798267452,16.877764688678635
